央视,#genre#
湖北孝昌生活频道[1920*1080],http://xiaochang.live.cjyun.org/video/s10128-xcsh/index.m3u8
湖北罗田综合[1280*720],http://luotian.live.cjyun.org/video/s10013-LTZH/index.m3u8
湖北红安综合[1280*720],http://hongan.live.cjyun.org/video/s10063-HAZH.m3u8
湖北应城新闻综合[768*576],http://yingcheng.live.cjyun.org/video/s10135-YCZH/index.m3u8
湖北应城生活频道[768*576],http://yingcheng.live.cjyun.org/video/s10135-YCDJ/index.m3u8
湖北秭归新闻综合[1024*576],http://zigui.live.cjyun.org/video/s10111-ZGTV1.m3u8
湖北嘉鱼新闻综合[720*576],http://jiayu.live.tempsource.cjyun.org/videotmp/s10131-jyzh.m3u8
湖北咸宁综合[1280*720],http://xianning.live.cjyun.org/video/s10140-XNGG.flv
湖北咸宁公共频道[1280*720],http://xianning.live.cjyun.org/video/s10140-XNTV-1.flv
湖南娄底综合台[1280*720],http://mms.ldntv.cn:1935/live/zonghe/playlist.m3u8
湖南湘潭综合台[1280*720],http://live.hnxttv.com:9601/live/xwzh/800K/tzwj_video.m3u8
湖南张家界公共[1920*1080],http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
江苏吴江综合台[1280*720],http://30515.hlsplay.aodianyun.com/lms_30515/tv_channel_239.m3u8
江苏连云港综合[960*540],http://live.lyg1.com/zhpd/sd/live.m3u8
江苏连云港公[854*480],http://live.lyg1.com/ggpd/sd/live.m3u8
江苏淮安综合[853*480],http://stream.habctv.com/xwzh/sd/live.m3u8
江苏淮安公共[640*480],http://stream.habctv.com/hagg/sd/live.m3u8
江苏淮安影视[640*480],http://stream.habctv.com/ysyl/sd/live.m3u8
安徽六安综合台[1280*720],http://live.china-latv.com/channel1/sd/live.m3u8
安徽淮北综合台[1280*720],http://live.0561rtv.cn/xwzh/hd/live.m3u8
安徽淮北公共台[1280*720],http://live.0561rtv.cn/ggpd/hd/live.m3u8
安徽铜陵公共台[1280*720],http://dstpush1.retalltech.com/app/stream2.m3u8
安徽东至综合台[1280*720],http://223.247.33.124:1935/live/zonghe/playlist.m3u8
安徽东至影视台[768*576],http://223.247.33.124:1935/live/yingshi/playlist.m3u8
重庆万州综合台[1024*576],http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
重庆万州影视台[1024*576],http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
重庆万盛综合台[720*576],http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/playlist.m3u8
云南云南娱乐台[1280*720],http://edge1.yntv.cn/channels/yntv/ynyl/m3u8:sd
云南楚雄公共台[1920*1080],http://hwzbout.yunshicloud.com/gbqei5/12661u.m3u8
云南丽江公共台[785*576],http://hwzbout.yunshicloud.com/mj1170/06qk26.m3u8
云南普洱综合台[960*540],http://hwzbout.yunshicloud.com/701aec/orx377.m3u8
四川影视文化[1280*720],http://scgctvshow.sctv.com/hdlive/sctv5/1.m3u8
